Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.925935588795078,7.90834730309011,0.000000000000000E+000,7.45066953936684,0.000000000000000E+000,0.205141406223838,0.205141406223838,0.205141406223838,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.429168251330199 
 01/01  02:00:00,0.798768278439017,7.97458397230691,0.000000000000000E+000,7.61077477567281,0.000000000000000E+000,0.209549629289708,0.209549629289708,0.209549629289708,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.337559445431482 
 01/01  03:00:00,0.753579623111327,8.16263040076771,0.000000000000000E+000,7.82481923455557,0.000000000000000E+000,0.215442976331558,0.215442976331558,0.215442976331558,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.311865759950983 
 01/01  04:00:00,0.739893006044206,8.16806006159871,0.000000000000000E+000,7.82357729145352,0.000000000000000E+000,0.215408781558449,0.215408781558449,0.215408781558449,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.318902577813825 
 01/01  05:00:00,0.738655374050549,8.27543031676982,0.000000000000000E+000,7.85790179039282,0.000000000000000E+000,0.216353847762652,0.216353847762652,0.216353847762652,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.392914629234830 
 01/01  06:00:00,0.790782888447907,8.46717384409043,0.000000000000000E+000,7.72887818975369,0.000000000000000E+000,0.212801404223004,0.212801404223004,0.212801404223004,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.710828523368228 
 01/01  07:00:00,1.01254537370762,8.80968453238840,0.000000000000000E+000,7.47001470791285,0.000000000000000E+000,0.205674042258519,0.205674042258519,0.205674042258519,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30793425570279 
 01/01  08:00:00,1.35224865298149,9.37905624048527,0.000000000000000E+000,7.86457866648373,0.000000000000000E+000,0.216537684093499,0.216537684093499,0.216537684093499,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.48075615448560 
 01/01  09:00:00,1.30664252505246,8.93871020449978,0.000000000000000E+000,7.46158176924381,0.000000000000000E+000,0.205441855756618,0.205441855756618,0.205441855756618,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44861892286288 
 01/01  10:00:00,1.13644206299847,8.73146045224541,0.000000000000000E+000,7.38621754210886,0.000000000000000E+000,0.203366831028740,0.203366831028740,0.203366831028740,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.32097900967709 
